Brazil
1,GK,Meg,1 January 1956 (39),,,
2,MF,Valeria,3 September 1968 (26),,,
3,DF,Elane,6 April 1968 (27),,,
4,DF,Solange,29 March 1969 (26),,,
5,MF,Leda Maria,16 April 1966 (29),,,
6,MF,Fanta,14 September 1966 (28),,,
7,FW,Pretinha,19 May 1975 (20),,,
8,MF,Cenira,2 December 1965 (29),,,
9,FW,Michael Jackson,19 November 1963 (31),,,
10,MF,Sissi,6 February 1967 (28),,,
11,FW,Roseli,9 July 1969 (25),,,
12,GK,Eliane,22 April 1971 (24),,,
13,DF,Nenê,31 March 1976 (19),,,
14,MF,Márcia Taffarel,15 March 1968 (27),,,
15,FW,Nalvinha,14 July 1965 (29),,,
16,MF,Formiga,3 March 1978 (17),,,
17,DF,Yara,13 February 1964 (31),,,
18,DF,Kátia,18 February 1977 (18),,,
19,DF,Suzy,2 July 1967 (27),,,
20,FW,Tânia,10 March 1974 (21),,,

Germany
1,GK,Manuela Goller,5 January 1971 (24),30,,Germany Grün-Weiß Brauweiler
2,DF,Anouschka Bernhard,5 October 1970 (24),33,,Germany FSV Frankfurt
3,DF,Birgitt Austermühl,8 October 1965 (29),41,,Germany FSV Frankfurt
4,DF,Dagmar Pohlmann,7 February 1972 (23),26,,Germany FSV Frankfurt
5,MF,Ursula Lohn,7 November 1966 (28),20,,Germany TuS Ahrbach
6,MF,Maren Meinert,5 August 1973 (21),30,,Germany FC Rumeln-Kaldenhausen
7,MF,Martina Voss,22 December 1967 (27),75,,Germany FC Rumeln-Kaldenhausen
8,MF,Bettina Wiegmann,7 October 1971 (23),52,,Germany Sportfreunde Siegen
9,FW,Heidi Mohr,29 May 1967 (28),82,,Germany TuS Ahrbach
10,MF,Silvia Neid,2 May 1964 (31),95,,Germany TSV Siegen
11,FW,Patricia Brocker,7 April 1966 (29),28,,Germany TuS Niederkirchen
12,GK,Katja Kraus,23 November 1970 (24),1,,Germany FSV Frankfurt
13,FW,Melanie Hoffmann,29 November 1974 (20),1,,Germany FC Rumeln-Kaldenhausen
14,DF,Sandra Minnert,7 April 1973 (22),20,,Germany FSV Frankfurt
15,DF,Claudia Klein,24 September 1971 (23),4,,Germany Grün-Weiß Brauweiler
16,FW,Birgit Prinz,25 October 1977 (17),14,,Germany FSV Frankfurt
17,DF,Tina Wunderlich,10 October 1977 (17),3,,Germany SG Praunheim
18,MF,Pia Wunderlich,26 January 1975 (20),11,,Germany SG Praunheim
19,MF,Sandra Smisek,3 July 1977 (17),2,,Germany FSV Frankfurt
20,GK,Christine Francke,12 June 1974 (20),2,,Germany TuS Ahrbach

Japan
1,GK,Junko Ozawa,12 July 1973 (21),,,
